ID,module,file,K,P,title,lines,status,fix_commit,daily_low_blindspot,notes
B001,config,src/config.py,K1 契约收口,P1,严格配置契约被 .get 默认值绕开,"L1-L1, L138-L145, L173-L218",RESOLVED,bug100-k1-b001-config-contract,NO,"K1 config contract restored — added bias_correction_enabled + feature_flags to Settings.__init__ required list; properties now use self._data[key] (strict, no .get fallback). Structural antibody tests/test_bug100_k1_k2_structural.py enforces AST invariant ""no self._data.get in Settings properties"" + ""every property key in required"". | K1 config contract — Settings.bias_correction_enabled still uses .get() default at L142-145. Independent of DT/P11. | config.py header forbids .get() but Settings.bias_correction_enabled still uses .get() default at L142-145"
B002,config,src/config.py,K4 时间/模式/参考,P0,mode_state_path 接受 mode 但实际忽略 mode,L26-L40,PRE_EXISTING_FIX,,NO,VERIFIER DISPUTE: file untouched in 943e74d..HEAD; fix predates Phase 0
B003,config,src/config.py,K3 单一真相/authority,P1,Settings.mode 与 get_mode 形成双 mode authority,"L43-L48, L129-L145",ABSORBED_DUAL_TRACK,b025883-or-earlier,NO,Phase 1 MetricIdentity unified mode authority; verify actual commit
B004,config,src/config.py,K3 单一真相/authority,P2,cities_by_alias 对重复 alias 静默覆盖,L233-L237,ABSORBED_PRE_OR_DUAL,,NO,cities_by_alias conflict check added; commit source uncertain
B005,supervisor_api,src/supervisor_api/contracts.py,K1 契约收口,P1,“每个 supervisor 对象都带 provenance” 的文档契约未落实,"L1-L12, L33-L46, L52-L164",PARTIALLY_CLOSED,5893756,NO,K1 supervisor provenance — provenance_ref: Optional[str] schema widening landed. 4d25452 addendum: follow-up ticket B005-b opened — per-producer enforcement (required vs optional) pending producer-site audit. | K1 supervisor provenance documentation contract not enforced in code. Independent of DT/P11. | Only Observation carries provenance_ref; Gap/Proposal/ChangeOutcome/Antibody naked
B006,supervisor_api,src/supervisor_api/contracts.py,K1 契约收口,P2,env 校验只要求非空，不校验枚举与语义一致性,L23-L31,RESOLVED,5893756,NO,K1 env enum/semantic validation resolved via _VALID_ENVS Literal enum in _check_env (supervisor_api/contracts.py). | K1 env enum/semantic validation — non-empty check insufficient. Independent of DT/P11. | _check_env only rejects empty; no Literal enum
B007,supervisor_api,src/supervisor_api/contracts.py,K8 控制面 fail-safe,P1,SupervisorCommand 缺少 source 与按 command 的必填字段校验,L101-L120,PRE_EXISTING_FIX,96b70a8,NO,SupervisorCommand.__post_init__ validates pre-Phase 0
B008,contracts,src/contracts/provenance_registry.py,K2 失败路径 fail-close,P1,注册表降级时 require_provenance 返回 None 而不是 fail-close,"L81-L105, L170-L196",PRE_EXISTING_FIX,f6f612e,NO,require_provenance fail-closed pre-Phase 0
B009,contracts,src/contracts/provenance_registry.py,K2 失败路径 fail-close,P2,malformed YAML 没有被 loader 收口，可能在 import 时直接爆出,L100-L123,RESOLVED,68cbacc+389247b,NO,Per-entry try/except isolation landed (SD-B typed error taxonomy); critic amendment at 389247b
B010,contracts,src/contracts/provenance_registry.py,K3 单一真相/authority,P2,同名 constant_name 会被后写静默覆盖,L107-L123,PRE_EXISTING_FIX,,NO,duplicate constant_name raises ValueError
B011,control,src/control/control_plane.py,K8 控制面 fail-safe,P0,control_plane.json 损坏会被当成空命令文件,L39-L45,PRE_EXISTING_FIX,f6f612e,NO,DT#6-style fix via K8 pre-Phase 0 (P0)
B012,control,src/control/control_plane.py,K8 控制面 fail-safe,P1,auto pause 持久化失败只记日志，重启后可能失去暂停态,L88-L118,PRE_EXISTING_FIX,f6f612e,NO,durable tombstone on DB failure pre-Phase 0
B013,control,src/control/control_plane.py,K8 控制面 fail-safe,P0,refresh_control_state 在 DB 查询异常时默认 entries_paused=False,L168-L206,PRE_EXISTING_FIX,f6f612e,NO,entries_paused=True on query_error pre-Phase 0 (P0)
B014,control,src/control/control_plane.py,K3 单一真相/authority,P2,bare bool 策略 gate 被包装成 unknown 元数据的 GateDecision,L125-L140,PRE_EXISTING_FIX,96b70a8,NO,strategy_gates rejects bare bool pre-Phase 0
B015,control,src/control/gate_decision.py,K1 契约收口,P2,GateDecision.from_dict 不校验 enabled 的布尔类型,L32-L40,RESOLVED,dd59c88,NO,"isinstance(enabled_value, bool) check raises ValueError on non-bool (B015+B074 YELLOW commit)"
B016,data,src/data/market_scanner.py,K3 单一真相/authority,P1,多 tag 扫描拿到第一个非空结果就返回，后续 tag 从不并集,L151-L180,ABSORBED_DUAL_TRACK,6e5de84,NO,Phase 3 _fetch_events_by_tags unions all tags with seen_ids dedup
B017,data,src/data/market_scanner.py,K2 失败路径 fail-close,P1,tag/API 故障会被缓存成“当前没有活跃事件”,"L129-L149, L151-L173",PARTIALLY_CLOSED,863fd51,NO,K2 fail-close — MarketSnapshot three-state authority (VERIFIED/STALE/EMPTY_FALLBACK) landed. 4d25452 addendum: follow-up ticket B017-b opened — Dual-Track callers do not yet fail-close on authority != VERIFIED. | K2 fail-close — tag/API failures cached as no-active-event. Independent of DT/P11. | cache cannot distinguish failed-empty from real-empty
B018,data,src/data/market_scanner.py,K4 时间/模式/参考,P2,endDate 缺失时 hours_to_resolution 直接默认 24 小时,L244-L254,SEMANTICS_CHANGED,,NO,hours_to_resolution now explicit None (not fake 24h) — better but still needs downstream handling
B019,data,src/data/market_scanner.py,K4 时间/模式/参考,P1,target_date 回退到 end_str[:10]，会把 UTC 日期切片误当本地目标日,L388-L407,PRE_EXISTING_FIX,,NO,UTC→local via city.timezone (pre-Phase 0)
B020,data,src/data/observation_client.py,K8 控制面 fail-safe,P1,WU API key 被硬编码进源码,"L25-L25, L158-L164",PRE_EXISTING_FIX,,NO,WU_API_KEY now from env with fail-fast (pre-Phase 0)
B021,data,src/data/observation_client.py,K2 失败路径 fail-close,P1,WU 失败只返回 None，且异常只打 debug,L154-L203,ABSORBED_DUAL_TRACK,6e5de84,NO,Phase 3 narrowed broad Exception to httpx.HTTPError/KeyError/ValueError
B022,data,src/data/observation_client.py,K2 失败路径 fail-close,P1,ASOS→WU offset 查询在异常路径上既可能泄露连接又会把基础设施错误伪装成 MissingCalibrationError,L328-L374,ABSORBED_DUAL_TRACK,6e5de84,NO,Phase 3 separated MissingCalibrationError from HTTP errors
B023,data,src/data/daily_obs_append.py,K2 失败路径 fail-close,P1,WU 日高低抓取把所有 Exception 都降级成可重试网络/抓取错误,L196-L305,ABSORBED_DUAL_TRACK,6e5de84,NO,"Phase 3 distinguishes 401/403/429/5xx, types retry"
B024,data,src/data/daily_obs_append.py,K2 失败路径 fail-close,P1,HKO 月表抓取同样把广义 Exception 重写成软失败,L378-L391,ABSORBED_DUAL_TRACK,6e5de84,NO,Phase 3 narrowed HKO exception to httpx.HTTPError
B025,data,src/data/daily_obs_append.py,K5 写路径与不可逆,P1,高低温合并写入时沿用 atom_high 的 value_type/raw/provenance 元数据,L429-L499,PRE_EXISTING_FIX,,NO,VERIFIER DISPUTE: separate high_/low_provenance_metadata already present at 943e74d
B026,data,src/data/hourly_instants_append.py,K2 失败路径 fail-close,P1,unexpected exception 被包装成字符串错误返回值,L169-L182,ABSORBED_DUAL_TRACK,6e5de84,NO,Phase 3 raises RuntimeError on non-httpx exceptions
B027,data,src/data/hourly_instants_append.py,K2 失败路径 fail-close,P2,逐行 parse/guard 失败 continue，小时级空洞会被静默吞掉,"L163-L165, L334-L338",ABSORBED_DUAL_TRACK,6e5de84,NO,Phase 3 per-row logging + written_rows tracking
B028,data,src/data/hourly_instants_append.py,K4 时间/模式/参考,P1,20 小时阈值即可标记 WRITTEN，会把不完整日期当成已完成,"L71-L71, L360-L372",ABSORBED_DUAL_TRACK,6e5de84,NO,Phase 3 dynamic _expected_hours with DST awareness (critical for low_so_far precision)
B029,data,src/data/polymarket_client.py,K7 生命周期/执行闭环,P1,get_order_status 把“方法缺失/查询异常/订单不存在”全部压成 None,L174-L190,PRE_EXISTING_FIX,,NO,structured dict return for get_order_status
B030,data,src/data/polymarket_client.py,K2 失败路径 fail-close,P2,positions API 中缺 token_id 的行被静默丢弃,L223-L227,PRE_EXISTING_FIX,,NO,silent skip preserved but logged; audit gap remains but acceptable
B031,data,src/data/polymarket_client.py,K2 失败路径 fail-close,P2,positions API 中 size 解析失败的行被静默丢弃,L228-L233,PRE_EXISTING_FIX,,NO,size parse isolated
B032,data,src/data/polymarket_client.py,K2 失败路径 fail-close,P1,avg/current/pnl/price 的 float 转换未局部保护，单个坏数字可打掉整批持仓抓取,L235-L250,PRE_EXISTING_FIX,,NO,all numeric fields try/except per-field
B033,engine,src/engine/time_context.py,K4 时间/模式/参考,P1,lead_days/lead_hours 统一锚到目标日本地 00:00，而不是结算闭窗,L28-L51,ABSORBED_DUAL_TRACK,b025883,NO,Phase 1 split lead_days_to_date_start vs lead_hours_to_settlement_close
B034,engine,src/engine/time_context.py,K4 时间/模式/参考,P2,naive datetime 会被静默当成 UTC,L13-L20,PRE_EXISTING_FIX,,NO,_coerce_datetime rejects naive tz; likely pre-Phase 0
B035,execution,src/execution/executor.py,K7 生命周期/执行闭环,P1,未知 mode 会静默落到 3600 秒默认超时,"L21-L37, L107-L108",PRE_EXISTING_FIX,f6f612e,NO,strict mode enum pre-Phase 0
